Curve,FAR,TPR,Threshold,AUC
Overall,0.006875,0.08333333333333333,0.968272429813786,0.869575
Overall,0.0075,0.08333333333333333,0.967740296814461,0.869575
Overall,0.0075,0.085,0.967490665110786,0.869575
Overall,0.0075,0.08666666666666667,0.9672837030165805,0.869575
Overall,0.0075,0.08833333333333333,0.9671276818149007,0.869575
Overall,0.0075,0.09,0.9670943736988704,0.869575
Overall,0.008125,0.09,0.9658582854960305,0.869575
Overall,0.008125,0.09166666666666666,0.965415707433627,0.869575
Overall,0.008125,0.09333333333333334,0.9653258803357125,0.869575
Overall,0.008125,0.095,0.9641114991924348,0.869575
Overall,0.008125,0.09666666666666666,0.9634568176279419,0.869575
Overall,0.00875,0.09666666666666666,0.9629668471923857,0.869575
Overall,0.00875,0.09833333333333333,0.9625347371390157,0.869575
Overall,0.00875,0.1,0.9622792885419428,0.869575
Overall,0.009375,0.1,0.9619308822449915,0.869575
Overall,0.01,0.1,0.9616578450383465,0.869575
Overall,0.010625,0.1,0.96101155310586,0.869575
Overall,0.010625,0.10166666666666667,0.9607030111565177,0.869575
Overall,0.010625,0.10333333333333333,0.9604347889660374,0.869575
Overall,0.010625,0.105,0.9594640344011331,0.869575
Overall,0.01125,0.105,0.9589299675462655,0.869575
Overall,0.01125,0.10666666666666667,0.9588253051767403,0.869575
Overall,0.01125,0.10833333333333334,0.9587431824976881,0.869575
Overall,0.01125,0.11,0.9585410443634668,0.869575
Overall,0.01125,0.11166666666666666,0.9583940074722184,0.869575
Overall,0.01125,0.11333333333333333,0.9571655674610701,0.869575
Overall,0.01125,0.115,0.9568948027266528,0.869575
Overall,0.01125,0.11666666666666667,0.9567325559153433,0.869575
Overall,0.01125,0.11833333333333333,0.9553901692677387,0.869575
Overall,0.01125,0.12,0.9547670136234467,0.869575
Overall,0.01125,0.12166666666666667,0.9547608393555195,0.869575
Overall,0.011875,0.12166666666666667,0.9541199136124114,0.869575
Overall,0.011875,0.12333333333333334,0.9522690075182401,0.869575
Overall,0.0125,0.12333333333333334,0.9515434487649191,0.869575
Overall,0.0125,0.125,0.9507007022328157,0.869575
Overall,0.0125,0.12666666666666668,0.9505113827340452,0.869575
Overall,0.0125,0.12833333333333333,0.9491599320689442,0.869575
Overall,0.0125,0.13,0.9483745102584089,0.869575
Overall,0.0125,0.13166666666666665,0.9482092963803229,0.869575
Overall,0.0125,0.13333333333333333,0.9480500298120826,0.869575
Overall,0.0125,0.135,0.9479214836041348,0.869575
Overall,0.0125,0.13666666666666666,0.9476847077613031,0.869575
Overall,0.0125,0.13833333333333334,0.9475349905368622,0.869575
Overall,0.0125,0.14,0.9473879357897614,0.869575
Overall,0.013125,0.14,0.946598200586255,0.869575
Overall,0.013125,0.14166666666666666,0.9465574447203842,0.869575
Overall,0.01375,0.14166666666666666,0.9465505393514893,0.869575
Overall,0.01375,0.14333333333333334,0.9461198072510449,0.869575
Overall,0.01375,0.145,0.9460964372964668,0.869575
Overall,0.01375,0.14666666666666667,0.9458330814066291,0.869575
Overall,0.01375,0.14833333333333334,0.9453581738805339,0.869575
Overall,0.01375,0.15,0.945298266416599,0.869575
Overall,0.01375,0.15166666666666667,0.9448859395529183,0.869575
Overall,0.01375,0.15333333333333332,0.9443215967883576,0.869575
Overall,0.01375,0.155,0.9440416240361468,0.869575
Overall,0.014375,0.155,0.9437659934150517,0.869575
Overall,0.014375,0.15666666666666668,0.9434524879006417,0.869575
Overall,0.014375,0.15833333333333333,0.9431051090478221,0.869575
Overall,0.015,0.15833333333333333,0.9430068380035443,0.869575
Overall,0.015,0.16,0.9428023305773701,0.869575
Overall,0.015,0.16166666666666665,0.9424650515046762,0.869575
Overall,0.015,0.16333333333333333,0.9422179751498804,0.869575
Overall,0.015625,0.16333333333333333,0.9409811095404945,0.869575
Overall,0.01625,0.16333333333333333,0.9409023200513966,0.869575
Overall,0.01625,0.165,0.9407506795204557,0.869575
Overall,0.01625,0.16666666666666666,0.9400430201147367,0.869575
Overall,0.01625,0.16833333333333333,0.9393697259374416,0.869575
Overall,0.01625,0.17,0.9390782923234963,0.869575
Overall,0.01625,0.17166666666666666,0.9389448263026345,0.869575
Overall,0.016875,0.17166666666666666,0.9389305629202863,0.869575
Overall,0.016875,0.17333333333333334,0.938490739876614,0.869575
Overall,0.016875,0.175,0.9380181665877723,0.869575
Overall,0.016875,0.17666666666666667,0.9365468659970806,0.869575
Overall,0.016875,0.17833333333333334,0.9363118800825805,0.869575
Overall,0.016875,0.18,0.9344539282599325,0.869575
Overall,0.016875,0.18166666666666667,0.9341051950262514,0.869575
Overall,0.016875,0.18333333333333332,0.9340139369661234,0.869575
Overall,0.016875,0.185,0.933849404033609,0.869575
Overall,0.016875,0.18666666666666668,0.9338405683379343,0.869575
Overall,0.016875,0.18833333333333332,0.9337564886437709,0.869575
Overall,0.016875,0.19,0.9333967642119081,0.869575
Overall,0.016875,0.19166666666666668,0.9333280558987184,0.869575
Overall,0.016875,0.19333333333333333,0.9331445424013864,0.869575
Overall,0.0175,0.19333333333333333,0.9328155560577529,0.869575
Overall,0.0175,0.195,0.9327454525052046,0.869575
